Mes,Audiencia,Acción,Mensaje,Medio
Enero,Moderna,Video viral,Monty enseñando trucos de béisbol: ¡Aprende con el mejor! #MontyChallenge,"TikTok, Instagram"
Febrero,Moderna,Colaboración con influencers,Colaboración con influencers deportivos: Monty enseña movimientos icónicos del béisbol.,"Instagram, YouTube"
Marzo,Moderna,Campaña de memes,Monty se une a los memes populares: comparte y gana entradas a los juegos.,"Instagram, TikTok"
Abril,Moderna,Historias interactivas,Historias de Instagram interactuando con Monty en un día de juego.,Instagram
Mayo,Moderna,Campaña de stickers,Stickers digitales de Monty para WhatsApp y Instagram: ¡Colecciónalos todos!,"WhatsApp, Instagram"
Junio,Moderna,Live Streaming,Transmisión en vivo con Monty: detrás de cámaras y sesiones de preguntas y respuestas.,"Instagram, YouTube"
Julio,Moderna,Campaña de retos,Desafío mensual: Envía tu mejor imitación de Monty y gana premios.,"TikTok, Instagram"
Agosto,Moderna,Reels divertidos,"Reels de Monty explorando la ciudad, probando comidas locales, y más.",Instagram
Septiembre,Moderna,Filtros de realidad aumentada,Lanzamiento de filtros de realidad aumentada con Monty en juegos de Instagram y Snapchat.,"Instagram, Snapchat"
Octubre,Moderna,Campaña de microvideos,"Microvideos diarios de Monty: humor, consejos y momentos del equipo.",TikTok
Noviembre,Moderna,Campaña de fin de año,Recapitulación de los mejores momentos de Monty durante el año con un montaje emotivo.,"Instagram, YouTube"
Diciembre,Moderna,Campaña de fin de año,Countdown con Monty en TikTok: 12 días de sorpresas y regalos.,"TikTok, Instagram"
