Mes,Audiencia,Acción,Mensaje,Medio
Enero,Tradicional,Campaña publicitaria,Conoce a Monty: la historia de nuestra querida mascota en tu periódico local.,Periódico
Febrero,Tradicional,Entrevista en radio,Entrevista exclusiva con Monty: Historias del equipo y valores que nos unen.,Radio
Marzo,Tradicional,Publicidad en televisión,Spot televisivo: Monty y los valores de la familia en el béisbol.,Televisión
Abril,Tradicional,Artículos en revistas,Especial en revista: Monty y su impacto en la comunidad local.,Revista
Mayo,Tradicional,Carteles en la ciudad,Carteles publicitarios: Monty invitando a un juego especial con la familia.,Espacios públicos
Junio,Tradicional,Evento de firma de autógrafos,Evento especial: Conoce a Monty y recibe su autógrafo en tu tienda local.,Tienda local
Julio,Tradicional,Columna mensual,Columna en el periódico sobre la vida de Monty: relatos del pasado y visiones del futuro.,Periódico
Agosto,Tradicional,Publicidad en estaciones de radio,Anuncios radiales con voz de Monty promoviendo eventos familiares del club.,Radio
Septiembre,Tradicional,Campaña de correo directo,Envío de cartas personalizadas a seguidores fieles con mensajes de Monty y cupones de descuento.,Correo tradicional
Octubre,Tradicional,Publicidad de televisión,Campaña televisiva destacando a Monty en diferentes roles dentro del equipo.,Televisión
Noviembre,Tradicional,Evento de caridad,"Participación de Monty en eventos de caridad locales, reforzando la conexión comunitaria.",Eventos locales
Diciembre,Tradicional,Especial navideño,Spot navideño con Monty y su familia celebrando en el estadio.,Televisión
